2023-05-21 22:24:40,373 - INFO - KVServer1>---- KVSSERVER 1 ACTIVE -----
2023-05-21 22:24:40,374 - DEBUG - KVServer1>Listening on 0.0.0.0:8000
2023-05-21 22:24:42,376 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:24:44,377 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:24:46,380 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:24:48,381 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:24:50,383 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:24:52,388 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:24:54,392 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:24:56,397 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:24:58,398 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:00,400 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:02,403 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:04,404 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:06,409 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:08,415 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:10,419 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:12,423 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:14,425 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:16,427 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:18,430 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:20,435 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:22,440 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:24,442 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:26,443 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:28,446 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:30,447 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:32,447 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:34,449 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:36,450 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:38,452 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:40,453 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:42,459 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:44,460 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:46,465 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:48,470 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:50,475 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:52,475 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:54,477 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:56,480 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:25:58,481 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:26:00,486 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:26:02,488 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:26:04,489 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:26:06,491 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:26:08,492 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:26:10,495 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:26:12,497 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:26:14,499 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:26:16,501 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:26:18,504 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:26:20,508 - DEBUG - KVServer1> Active clients: 0, Ids: []
2023-05-21 22:26:20,508 - DEBUG - KVServer1> Closing server
2023-05-21 22:26:20,508 - INFO - KVServer1>---- KVSSERVER 1 SLEEP -----
